ID,WP Module,Data items,Units,City/Pilot,Stream,{Sensor},Zaanstad csv NPO Description
156,De-centralized data,Doctor's room temperature C0.22 26,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C0_22_26_doctor,room_temperature_C0_22_26_doctor,Ruimte temperatuur C0.22 Spreekkamer 26
157,De-centralized data,Room temperature SER C0.23 Security,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C0_23_SER_Security,room_temperature_C0_23_SER_Security,Ruimte temperatuur C0.23 SER Beveiliging
158,De-centralized data,Room temperature C0.24 Security Post,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C0_24_Security_Post,room_temperature_C0_24_Security_Post,Ruimte temperatuur C0.24 Beveiligingsloge
159,De-centralized data,Room temperature C1.03,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C1_03,room_temperature_C1_03,Ruimte temperatuur C1.03
160,De-centralized data,Room temperature C1.04,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C1_04,room_temperature_C1_04,Ruimte temperatuur C1.04
161,De-centralized data,Room temperature C1.05,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C1_05,room_temperature_C1_05,Ruimte temperatuur C1.05
162,De-centralized data,Room temperature C1.06,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C1_06,room_temperature_C1_06,Ruimte temperatuur C1.06
163,De-centralized data,Room temperature C1.07,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C1_07,room_temperature_C1_07,Ruimte temperatuur C1.07
164,De-centralized data,Room temperature C1.11 Club,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C1_11_Club,room_temperature_C1_11_Club,Ruimte temperatuur C1.11 Club
165,De-centralized data,Room temperature C2.03,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C2_03,room_temperature_C2_03,Ruimte temperatuur C2.03
166,De-centralized data,Room temperature C2.04,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C2_04,room_temperature_C2_04,Ruimte temperatuur C2.04
167,De-centralized data,Room temperature C2.06,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C2_06,room_temperature_C2_06,Ruimte temperatuur C2.06
168,De-centralized data,Room temperature C2.07,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C2_07,room_temperature_C2_07,Ruimte temperatuur C2.07
169,De-centralized data,Room temperature C2.11 Window Zone West,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C2_11_windowzonewest,room_temperature_C2_11_windowzonewest,Ruimte temperatuur C2.11 Raamzone West
170,De-centralized data,Room temperature C3.03,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C3_03,room_temperature_C3_03,Ruimte temperatuur C3.03
171,De-centralized data,Room temperature C3.04,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C3_04,room_temperature_C3_04,Ruimte temperatuur C3.04
172,De-centralized data,Room temperature C3.05,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C3_05,room_temperature_C3_05,Ruimte temperatuur C3.05
173,De-centralized data,Room temperature C3.06,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C3_06,room_temperature_C3_06,Ruimte temperatuur C3.06
174,De-centralized data,Room temperature C3.07,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C3_07,room_temperature_C3_07,Ruimte temperatuur C3.07
175,De-centralized data,Room temperature C4.03,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C4_03,room_temperature_C4_03,Ruimte temperatuur C4.03
176,De-centralized data,Room temperature C4.04,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C4_04,room_temperature_C4_04,Ruimte temperatuur C4.04
177,De-centralized data,Room temperature C4.05,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C4_05,room_temperature_C4_05,Ruimte temperatuur C4.05
178,De-centralized data,Room temperature C4.06,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C4_06,room_temperature_C4_06,Ruimte temperatuur C4.06
179,De-centralized data,Room temperature C4.07,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C4_07,room_temperature_C4_07,Ruimte temperatuur C4.07
180,De-centralized data,Room temperature C4.12 Club,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C4_12_Club,room_temperature_C4_12_Club,Ruimte temperatuur C4.12 Club
181,De-centralized data,Room temperature C4.12 Window Zone East,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C4_12_windowzoneeast,room_temperature_C4_12_windowzoneeast,Ruimte temperatuur C4.12 Raamzone Oost
182,De-centralized data,Room temperature D0.03,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D0_03,room_temperature_D0_03,Ruimte temperatuur D0.03
183,De-centralized data,Room temperature D0.04,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D0_04,room_temperature_D0_04,Ruimte temperatuur D0.04
184,De-centralized data,Room temperature D0.05,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D0_05,room_temperature_D0_05,Ruimte temperatuur D0.05
185,De-centralized data,Room temperature D0.06,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D0_06,room_temperature_D0_06,Ruimte temperatuur D0.06
186,De-centralized data,Room temperature D0.07,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D0_07,room_temperature_D0_07,Ruimte temperatuur D0.07
187,De-centralized data,Room temperature D0.11 Window Zone West,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D0_11_windowzonewest,room_temperature_D0_11_windowzonewest,Ruimte temperatuur D0.11 Raamzone West
188,De-centralized data,Room temperature D1.03,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D1_03,room_temperature_D1_03,Ruimte temperatuur D1.03
189,De-centralized data,Room temperature D1.04,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D1_04,room_temperature_D1_04,Ruimte temperatuur D1.04
190,De-centralized data,Room temperature D1.05,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D1_05,room_temperature_D1_05,Ruimte temperatuur D1.05
191,De-centralized data,Room temperature D1.06,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D1_06,room_temperature_D1_06,Ruimte temperatuur D1.06
192,De-centralized data,Room temperature D1.07,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D1_07,room_temperature_D1_07,Ruimte temperatuur D1.07
193,De-centralized data,Room temperature D1.19 Window Zone West,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D1_19_windowzonewest,room_temperature_D1_19_windowzonewest,Ruimte temperatuur D1.19 Raamzone West
194,De-centralized data,Room temperature D1.20 Club,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D1_20_Club,room_temperature_D1_20_Club,Ruimte temperatuur D1.20 Club
195,De-centralized data,Room temperature D2.03,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D2_03,room_temperature_D2_03,Ruimte temperatuur D2.03
196,De-centralized data,Room temperature D2.04,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D2_04,room_temperature_D2_04,Ruimte temperatuur D2.04
197,De-centralized data,Room temperature D2.05,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D2_05,room_temperature_D2_05,Ruimte temperatuur D2.05
198,De-centralized data,Room temperature D2.06,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D2_06,room_temperature_D2_06,Ruimte temperatuur D2.06
199,De-centralized data,Room temperature D2.07,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D2_07,room_temperature_D2_07,Ruimte temperatuur D2.07
200,De-centralized data,Room temperature D2.11 Window Zone East,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D2_11_windowzoneeast,room_temperature_D2_11_windowzoneeast,Ruimte temperatuur D2.11 Raamzone Oost
201,De-centralized data,Room temperature D3 Window Zone West,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D3_windowzonewest,room_temperature_D3_windowzonewest,Ruimte temperatuur D3 Raamzone West
202,De-centralized data,Room temperature D3.03,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D3_03,room_temperature_D3_03,Ruimte temperatuur D3.03
203,De-centralized data,Room temperature D3.04,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D3_04,room_temperature_D3_04,Ruimte temperatuur D3.04
204,De-centralized data,Room temperature D3.05,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D3_05,room_temperature_D3_05,Ruimte temperatuur D3.05
205,De-centralized data,Room temperature D3.06,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D3_06,room_temperature_D3_06,Ruimte temperatuur D3.06
206,De-centralized data,Room temperature D3.07,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D3_07,room_temperature_D3_07,Ruimte temperatuur D3.07
207,De-centralized data,Room temperature D3.20 Club,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D3_20_Club,room_temperature_D3_20_Club,Ruimte temperatuur D3.20 Club
208,De-centralized data,Room temperature D4.03,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_D4_03,room_temperature_D4_03,Ruimte temperatuur D4.03
